N,P,HASH,EXEC_TYPE,CHECKSUM,THROUGHPUT,PARTITION_TIME,GLOBAL_TIME
10000,16,mask,plain_novec,22001682542690283135120693704812916035,1104972375.6906078,1.8099999999999999e-05,2.9262412599999998
10000,16,xorshift,plain_novec,34788091854078097639543678147188380258,693962526.02359474,2.8819999999999999e-05,1.3939733000000001
10000,16,fmix32fold,plain_novec,1769119373609749305414971069491841795277,453103760.76121432,4.4140000000000001e-05,1.2197564299999999
10000,32,mask,plain_novec,1380656054490976064912497025681736346755,991571641.05106604,2.0169999999999998e-05,1.2011528499999999
10000,32,xorshift,plain_novec,140147020965476529479703730576538390946,687757909.21595597,2.9079999999999999e-05,1.2017436800000001
10000,32,fmix32fold,plain_novec,774736615542163361411214818532579942877,450450450.45045048,4.4399999999999995e-05,1.20211541
10000,64,mask,plain_novec,92103648331980907292488551874384677987,956480153.03682446,2.0910000000000001e-05,1.2044366
10000,64,xorshift,plain_novec,24072579351448294911081179758835181026,660938532.71645737,3.0259999999999998e-05,1.20027182
10000,64,fmix32fold,plain_novec,24654958195939338061681074807167599901,453514739.22902495,4.4100000000000001e-05,1.2106287099999999
10000,128,mask,plain_novec,364065718960384772114156050535068342563,1008064516.1290323,1.984e-05,1.2261922300000001
10000,128,xorshift,plain_novec,50542330133028582918538939399207771874,707213578.50070715,2.828e-05,1.2048968
10000,128,fmix32fold,plain_novec,1086559645999572260613103246315049024861,460193281.1780948,4.3460000000000001e-05,1.20260045
10000,256,mask,plain_novec,1839466930987321207315952343098444776995,996512207.27453911,2.0069999999999999e-05,1.1979224799999999
10000,256,xorshift,plain_novec,4702138579084596787230447060911132130,689655172.41379309,2.9e-05,1.1999460900000001
10000,256,fmix32fold,plain_novec,437729626143842455811355727249640965853,448933782.26711559,4.4549999999999999e-05,1.2303441900000001
10000,512,mask,plain_novec,1401388889654117033201764478318212387,1011122345.8038424,1.9779999999999997e-05,1.2022264600000001
10000,512,xorshift,plain_novec,159585862345277033473532649390500881634,643086816.72025728,3.1099999999999997e-05,1.20118517
10000,512,fmix32fold,plain_novec,65795765592199590226285493688544336861,455996352.02918375,4.3860000000000004e-05,1.2051984600000001
10000,1024,mask,plain_novec,1241306357473141162510327078489258550051,1006542526.4217415,1.9869999999999998e-05,1.205522
10000,1024,xorshift,plain_novec,138399169267416876032116029931013784802,703482237.07351387,2.8430000000000001e-05,1.20103765
10000,1024,fmix32fold,plain_novec,1574049781856252388614340231066458381789,448329970.85855186,4.4610000000000001e-05,1.2021026100000001
