[47/135] run=2/5 N=10000000 P=1024 HASH=mul PARTITION_TIME[s]=0.01826 THROUGHPUT[elems/s]=1.09529e+09
[48/135] run=2/5 N=10000000 P=1024 HASH=fmix64 PARTITION_TIME[s]=0.03769 THROUGHPUT[elems/s]=5.30645e+08
[49/135] run=2/5 N=10000000 P=2048 HASH=mask PARTITION_TIME[s]=0.01845 THROUGHPUT[elems/s]=1.08401e+09
[50/135] run=2/5 N=10000000 P=2048 HASH=mul PARTITION_TIME[s]=0.01826 THROUGHPUT[elems/s]=1.09529e+09
[51/135] run=2/5 N=10000000 P=2048 HASH=fmix64 PARTITION_TIME[s]=0.03737 THROUGHPUT[elems/s]=5.35189e+08
[52/135] run=2/5 N=10000000 P=4096 HASH=mask PARTITION_TIME[s]=0.01852 THROUGHPUT[elems/s]=1.07991e+09
[53/135] run=2/5 N=10000000 P=4096 HASH=mul PARTITION_TIME[s]=0.01829 THROUGHPUT[elems/s]=1.09349e+09
[54/135] run=2/5 N=10000000 P=4096 HASH=fmix64 PARTITION_TIME[s]=0.03773 THROUGHPUT[elems/s]=5.30082e+08
[55/135] run=3/5 N=10000000 P=16 HASH=mask PARTITION_TIME[s]=0.01843 THROUGHPUT[elems/s]=1.08519e+09
[56/135] run=3/5 N=10000000 P=16 HASH=mul PARTITION_TIME[s]=0.01824 THROUGHPUT[elems/s]=1.09649e+09
[57/135] run=3/5 N=10000000 P=16 HASH=fmix64 PARTITION_TIME[s]=0.03773 THROUGHPUT[elems/s]=5.30082e+08
[58/135] run=3/5 N=10000000 P=32 HASH=mask PARTITION_TIME[s]=0.01796 THROUGHPUT[elems/s]=1.11359e+09
[59/135] run=3/5 N=10000000 P=32 HASH=mul PARTITION_TIME[s]=0.01815 THROUGHPUT[elems/s]=1.10193e+09
[60/135] run=3/5 N=10000000 P=32 HASH=fmix64 PARTITION_TIME[s]=0.03779 THROUGHPUT[elems/s]=5.29241e+08
[61/135] run=3/5 N=10000000 P=64 HASH=mask PARTITION_TIME[s]=0.01835 THROUGHPUT[elems/s]=1.08992e+09
[62/135] run=3/5 N=10000000 P=64 HASH=mul PARTITION_TIME[s]=0.0182 THROUGHPUT[elems/s]=1.0989e+09
[63/135] run=3/5 N=10000000 P=64 HASH=fmix64 PARTITION_TIME[s]=0.03776 THROUGHPUT[elems/s]=5.29661e+08
[64/135] run=3/5 N=10000000 P=128 HASH=mask PARTITION_TIME[s]=0.01835 THROUGHPUT[elems/s]=1.08992e+09
[65/135] run=3/5 N=10000000 P=128 HASH=mul PARTITION_TIME[s]=0.01828 THROUGHPUT[elems/s]=1.09409e+09
[66/135] run=3/5 N=10000000 P=128 HASH=fmix64 PARTITION_TIME[s]=0.03782 THROUGHPUT[elems/s]=5.28821e+08
[67/135] run=3/5 N=10000000 P=256 HASH=mask PARTITION_TIME[s]=0.0184 THROUGHPUT[elems/s]=1.08696e+09
[68/135] run=3/5 N=10000000 P=256 HASH=mul PARTITION_TIME[s]=0.01814 THROUGHPUT[elems/s]=1.10254e+09
[69/135] run=3/5 N=10000000 P=256 HASH=fmix64 PARTITION_TIME[s]=0.0373 THROUGHPUT[elems/s]=5.36193e+08
[70/135] run=3/5 N=10000000 P=512 HASH=mask PARTITION_TIME[s]=0.01834 THROUGHPUT[elems/s]=1.09051e+09
[71/135] run=3/5 N=10000000 P=512 HASH=mul PARTITION_TIME[s]=0.01832 THROUGHPUT[elems/s]=1.0917e+09
[72/135] run=3/5 N=10000000 P=512 HASH=fmix64 PARTITION_TIME[s]=0.03745 THROUGHPUT[elems/s]=5.34045e+08
[73/135] run=3/5 N=10000000 P=1024 HASH=mask PARTITION_TIME[s]=0.01843 THROUGHPUT[elems/s]=1.08519e+09
[74/135] run=3/5 N=10000000 P=1024 HASH=mul PARTITION_TIME[s]=0.01822 THROUGHPUT[elems/s]=1.09769e+09
[75/135] run=3/5 N=10000000 P=1024 HASH=fmix64 PARTITION_TIME[s]=0.03771 THROUGHPUT[elems/s]=5.30363e+08
[76/135] run=3/5 N=10000000 P=2048 HASH=mask PARTITION_TIME[s]=0.01837 THROUGHPUT[elems/s]=1.08873e+09
[77/135] run=3/5 N=10000000 P=2048 HASH=mul PARTITION_TIME[s]=0.01826 THROUGHPUT[elems/s]=1.09529e+09
[78/135] run=3/5 N=10000000 P=2048 HASH=fmix64 PARTITION_TIME[s]=0.03732 THROUGHPUT[elems/s]=5.35906e+08
[79/135] run=3/5 N=10000000 P=4096 HASH=mask PARTITION_TIME[s]=0.01841 THROUGHPUT[elems/s]=1.08637e+09
[80/135] run=3/5 N=10000000 P=4096 HASH=mul PARTITION_TIME[s]=0.01814 THROUGHPUT[elems/s]=1.10254e+09
[81/135] run=3/5 N=10000000 P=4096 HASH=fmix64 PARTITION_TIME[s]=0.0374 THROUGHPUT[elems/s]=5.34759e+08
[82/135] run=4/5 N=10000000 P=16 HASH=mask PARTITION_TIME[s]=0.0184 THROUGHPUT[elems/s]=1.08696e+09
[83/135] run=4/5 N=10000000 P=16 HASH=mul PARTITION_TIME[s]=0.01825 THROUGHPUT[elems/s]=1.09589e+09
[84/135] run=4/5 N=10000000 P=16 HASH=fmix64 PARTITION_TIME[s]=0.03775 THROUGHPUT[elems/s]=5.29801e+08
[85/135] run=4/5 N=10000000 P=32 HASH=mask PARTITION_TIME[s]=0.01841 THROUGHPUT[elems/s]=1.08637e+09
